294,0.78512,-1.1583,-0.043487
296,0.80864,-1.1396,-0.043668
298,0.83252,-1.121,-0.043881
300,0.85615,-1.1018,-0.044093
302,0.87916,-1.0822,-0.044305
304,0.90126,-1.0612,-0.044241
306,0.92353,-1.0406,-0.044452
308,0.94533,-1.0194,-0.044663
310,0.96665,-0.99785,-0.044631
312,0.98764,-0.97565,-0.044599
314,1.0081,-0.953,-0.044809
316,1.0281,-0.92994,-0.044776
318,1.0481,-0.90729,-0.044776
320,1.0672,-0.8832,-0.044744
322,1.0856,-0.85889,-0.044712
324,1.1042,-0.83481,-0.044712
326,1.1217,-0.80956,-0.044438
328,1.1384,-0.78413,-0.044406
330,1.1555,-0.75871,-0.044406
332,1.172,-0.73291,-0.044165
334,1.1871,-0.70625,-0.044133
336,1.2023,-0.67998,-0.043892
338,1.2171,-0.65316,-0.043651
340,1.2313,-0.62603,-0.04341
342,1.244,-0.59816,-0.043137
344,1.2569,-0.57044,-0.042896
346,1.2693,-0.54245,-0.042656
348,1.281,-0.51418,-0.042415
350,1.293,-0.48602,-0.041963
352,1.3035,-0.45725,-0.041722
354,1.3133,-0.42825,-0.04124
356,1.3225,-0.39904,-0.040999
358,1.332,-0.3699,-0.040546
360,1.3398,-0.34052,-0.040305
362,1.347,-0.31074,-0.039822
364,1.3546,-0.28102,-0.039368
366,1.3605,-0.25116,-0.038885
368,1.3667,-0.22111,-0.03843
370,1.3722,-0.19115,-0.037974
372,1.3761,-0.16093,-0.037249
374,1.3803,-0.13072,-0.036791
376,1.3839,-0.10041,-0.036334
378,1.3868,-0.07025,-0.035633
380,1.389,-0.039768,-0.035173
382,1.3905,-0.0094653,-0.034471
384,1.3914,0.020887,-0.03401
386,1.3917,0.051273,-0.033305
388,1.3912,0.081679,-0.032599
390,1.3911,0.11217,-0.032159
392,1.3894,0.14235,-0.03145
394,1.387,0.17251,-0.030741
396,1.3839,0.20263,-0.030031
398,1.3812,0.23263,-0.02934
400,1.3769,0.26265,-0.028627
402,1.3729,0.29257,-0.027933
404,1.3673,0.3222,-0.027218
406,1.3621,0.35175,-0.026274
